Название книги,Автор,Издательство,Цена со скидкой,Цена без скидки,Процент скидки,Наличие на складе
"Безопасность веб-приложений. Разведка, защита, нападение",Хоффман Эндрю,Питер:Бестселлеры O`Reilly,1867,2557,27,На складе
Распределенные данные. Алгоритмы работы современных систем хранения информации,Петров Алекс,Питер:Бестселлеры O`Reilly,2023,2771,27,На складе
Безопасно by Design,Берг Джонсон Дэн и др.,Питер:Библиотека программиста,1639,2245,27,На складе
"Разработка на JavaScript. Построение кроссплатформенных приложений с помощью GraphQL, React",Скотт Адам Д.,Питер:Бестселлеры O`Reilly,1779,2437,27,На складе
Пакет прикладных программ. Учебное пособие,Шитов Виктор Николаевич,ИНФРА-М:Среднее профессиональное образование,2250,3000,25,На складе
Программирование в САПР. Пространственное моделирование колонного аппарата в среде Autodesk Inventor,Лянг Виктор Федорович,ИНФРА-М:Высшее образование. Бакалавриат,1782,2376,25,На складе
Искусство тестирования на проникновение в сеть,Дэвис Ройс,ДМК-Пресс,1416,1888,25,На складе
Построение пользовательских интерфейсов,Малышев Кирилл Викторович,ДМК-Пресс,1274,1699,25,На складе
Data Science для карьериста,"Нолис Жаклин, Робинсон Эмили",Питер:Библиотека программиста,1821,2494,27,На складе
"Экстремальный Cи. Параллелизм, ООП и продвинутые возможности",Амини Камран,Питер:Для профессионалов,2300,3150,27,На складе
Алгоритмы обработки текста. 125 задач с решениями,Крошемор Максим и др.,ДМК-Пресс,1416,1888,25,На складе
Аналитика в Power BI с помощью R и Python,Уэйд Райан,ДМК-Пресс,1841,2454,25,На складе
Программирование. Введение в профессию. Том 2. Системы и сети,Столяров Андрей Викторович,ДМК-Пресс,2124,2832,25,На складе
Программирование. Введение в профессию. Том 3. Парадигмы,Столяров Андрей Викторович,ДМК-Пресс,2124,2832,25,На складе
C#. Алгоритмы и структуры данных. Учебное пособие для вузов,"Тюкачев Николай Аркадьевич, Хлебостроев Виктор Григорьевич",Лань:Компьютеры и программное обеспечение,2495,3326,25,Ограничено
"Python, например",Лейси Никола,Питер:Библиотека программиста,923,1265,27,На складе
"Изучаем SQL. Генерация, выборка и обработка данных",Болье Алан,Диалектика,2592,3456,25,Ограничено
Знакомство с программированием на языке Processing,"Риас Кейси, Фрай Бен",ДМК-Пресс,1147,1529,25,На складе
Arduino. Большая книга рецептов,Марголис Майкл и др.,BHV,1588,2117,25,На складе
Active Directory глазами хакера,Hacker Ralf,BHV:Глазами Хакера,410,546,25,На складе
Web-сервер глазами хакера,Фленов Михаил Евгеньевич,BHV:Глазами Хакера,576,768,25,На складе
